protein	a1	a2	a3	a4	b1	b2	b3	b4	c1	c2	c3	c4	d1	d2	d3	d4	e1	e2	e3	e4
A6NKT7;Q7Z3J3;O14715;P0DJD0;P0DJD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.158221237667615	NA	23.652640962677033	NA	NA	NA	NA
A6ZKI3;Q9BWD3;Q17RB0	25.04091435037281	25.188140723229324	25.158804430444388	25.030622324076482	24.922513120288414	24.865987362395625	24.503744449426566	24.99318810366145	24.995297672057276	25.048063475271107	25.149964217601045	24.762625391575654	24.965172161411402	25.00056470934129	24.69540144813519	24.777486113549966	25.00022466362527	25.244099680089448	24.907282693736015	24.707225402411332
A8CG34;A6NF01;Q96HA1	NA	24.99409747254426	NA	24.96409118719982	24.87678705512937	24.97743602046956	25.192442368614493	NA	24.81887110467301	NA	25.01365154374375	NA	25.06045739075436	24.76079149805684	NA	24.907042932545522	24.798045346086912	25.04616922380756	NA	NA
P62308;A8MWD9	25.152151856249766	25.506589660076564	25.41107047893188	25.14038633299691	25.46661716954393	25.43538945376843	25.293756065232397	25.39471309252507	25.54062609165268	25.364864909267165	25.420012414625454	25.253536504455035	25.44605089550786	25.499635770592498	25.41828616381522	25.261565019040574	25.42556010308232	25.79336243754727	25.60849826295302	25.370710812405562
A8MXV4	NA	NA	24.315363511008155	23.93545959758377	23.624713731058616	NA	24.103479901266002	24.040762042996715	NA	NA	NA	NA	24.47522169014701	NA	23.888799105667367	NA	23.953421573758924	NA	23.79767072581465	24.341193419049997
C9JLW8	25.44987074392498	25.488474178630973	25.440957569498323	25.099337884755954	25.279954255638796	25.36325415258747	25.292528732845778	25.10176912895144	25.376966142141526	25.298841480354387	25.219581431456948	25.217550998892833	25.589432459754036	25.20873854383733	25.076504097690393	25.158074600448312	25.384401381165734	25.257497375995026	25.376527370323085	25.212265742054907
Q13765;E9PAV3;Q9BZK3	30.337771842929023	30.61793926930202	30.356213326306573	30.427054478053627	30.369273768570253	30.499420861851718	30.494252307654627	30.461007451892634	30.42539919692929	30.448234940062342	30.416347416203763	30.358122024093156	30.367791671015247	30.467994331731745	30.451509205620418	30.44741033662436	30.413691734643606	30.51253486062638	30.3769484057429	30.412218032919064
L0R6Q1	25.6586406828247	25.917170954913963	25.680056266773672	25.81111747707298	25.91067769018825	25.837462451112845	25.5917201848458	25.610897634936375	25.826718082738044	25.913978009343555	25.821331477915493	25.599252662232132	25.766549935628493	25.865993817299554	25.698543551922505	25.476686126514675	25.805256518433	25.856627331005285	25.701333239419366	25.675824906318486
O00116	27.281185869142053	27.249543549250838	27.214409760771034	27.229580868094406	27.269270938845615	27.165623318677735	27.350801539604767	27.397729203176862	27.297106357630568	26.938761943457845	27.29204120155619	27.338208455418442	27.374040093879564	27.41926980947539	27.358369290839487	27.331272099715196	27.337244689144374	27.109474880858706	27.21101284052257	27.334718187526356
O00139	NA	24.784785028998115	24.508741814325674	24.72548571829912	24.977898081439367	24.583269157773355	24.440816196193435	24.679235453489873	24.73594314994889	24.5511828811367	NA	NA	24.700772264571807	24.618856654759917	24.655384593074466	24.483952233604835	24.574223584451826	24.878482289990494	24.87873448035741	24.73348401621276
