LFQ intensity 11_pTa	LFQ intensity 12_pT2+	LFQ intensity 15_pT2+	LFQ intensity 16_pTa	LFQ intensity 17_pT2+	LFQ intensity 19_pTa	LFQ intensity 3_pTa	LFQ intensity 9_pT2+	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Welch's T-test Significant pTa_pT2+	C: Welch's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	N: Welch's T-test p-value pTa_pT2+	N: Welch's T-test q-value pTa_pT2+	N: Welch's T-test Difference pTa_pT2+	N: Welch's T-test Test statistic pTa_pT2+
21.5826	20.118	22.2989	21.8685	21.6727	21.6457	20.5128	21.1416						3	3	3	20	20	20	22.98	0	13.383	31823000	30	0.870479	0.986113	0.094593	0.171304
21.1029	22.0277	21.4835	21.2792	21.7992	19.219	20.1348	19.0169						5	5	5	11.7	11.7	11.7	59.271	0	11.75	19752000	13	0.475848	0.885025	-0.647855	-0.766971
24.1807	21.7799	21.5008	23.1825	21.0302	20.7853	24.3357	20.1912						11	11	11	34.2	34.2	34.2	44.287	0	49.784	65572000	43	0.0876748	0.730256	1.99555	2.24178
21.3463	21.0128	20.9218	21.3446	20.7359	20.6839	22.214	22.0919						5	5	5	24.1	24.1	24.1	29.815	0	15.693	23775000	13	0.653988	0.923202	0.206594	0.471444
19.5542	24.079	22.7179	22.4736	19.6021	22.8294	25.1727	22.8282						3	3	3	29.1	29.1	29.1	16.32	0	61.846	82142000	46	0.897754	0.982619	0.20071	0.134238
23.4795	23.1263	22.8667	22.4719	23.6285	21.9722	21.9967	22.8937						18	18	18	24.4	24.4	24.4	90.932	0	76.776	72307000	69	0.168398	0.770607	-0.648712	-1.64588
22.3399	22.607	22.4559	23.5249	21.2534	22.6932	23.477	21.4788						3	3	3	27.4	27.4	27.4	16.332	0	27.885	55023000	47	0.0574683	0.722085	1.06	2.35678
20.479	24.9704	25.2218	21.8485	26.7959	20.6462	22.255	24.9946						19	19	19	41.8	41.8	41.8	56.65	0	295.72	275230000	166	0.000511376	0.216	-4.18849	-6.76019
21.8076	21.2625	20.7136	21.9781	21.628	22.3125	21.8893	21.6608						11	11	11	31.3	31.3	31.3	54.099	0	26.889	28680000	33	0.0454135	0.664621	0.68067	2.76086
22.4771	23.4239	22.5534	23.0498	23.3324	20.9931	22.7838	22.2963						15	15	15	33.9	33.9	33.9	60.977	0	54.946	62359000	64	0.334277	0.836879	-0.575551	-1.06893
20.2875	21.4477	20.5246	21.7293	23.0854	20.6137	19.492	21.2722						11	11	11	23.1	23.1	23.1	58.397	0	29.626	26165000	27	0.190837	0.783728	-1.05189	-1.47851
24.7044	23.9021	24.3846	24.6593	24.8824	20.028	23.3838	23.6249						20	15	15	34.4	26.9	26.9	70.942	0	111.44	170680000	122	0.43385	0.883421	-1.00463	-0.886624
22.987	23.1463	21.9691	22.4521	22.4903	20.276	22.2665	20.5126						8	8	8	42.6	42.6	42.6	32.251	0	40.027	43716000	29	0.967933	0.99338	-0.0341911	-0.0419126
21.4562	22.6029	21.3939	21.7752	22.0392	22.3838	23.2181	22.012						6	6	6	45.6	45.6	45.6	22.237	0	28.848	38175000	34	0.686802	0.928948	0.196303	0.427052
22.3518	21.9662	21.5818	22.5134	23.3884	21.1733	22.4812	21.7632						7	7	7	25.6	25.6	25.6	39.589	0	31.899	46430000	47	0.934266	0.986379	-0.0450172	-0.0862124
20.3627	21.5432	20.1474	20.5055	20.571	20.8462	18.8824	20.1011						5	5	5	16.2	16.2	16.2	51.112	0	19.704	9717200	27	0.45333	0.882942	-0.44146	-0.805208
20.6988	20.9998	19.8555	21.789	21.1651	21.3145	18.9386	20.994						6	6	6	21.8	21.8	21.8	38.792	0	14.141	14518000	20	0.925797	0.989214	-0.068357	-0.0986702
22.184	22.1786	22.3346	22.2351	22.523	21.5246	21.6058	22.3467						6	6	6	20.7	20.7	20.7	37.154	0	21.084	41310000	34	0.0864038	0.736035	-0.458365	-2.29362
28.2306	27.8398	28.3774	27.9129	28.4517	27.4658	27.7987	27.5891						52	52	35	69.3	69.3	50.4	104.85	0	323.31	2316700000	1598	0.450335	0.883653	-0.212537	-0.811403
21.1898	21.3356	20.0803	21.7198	21.9391	20.8496	20.9722	18.685						5	5	5	6.6	6.6	6.6	91.35	0	16.974	20025000	17	0.426133	0.888057	0.672838	0.901623
23.5487	24.6711	24.2059	23.6302	23.8391	21.0721	23.6334	23.512						18	18	18	39.6	39.6	39.6	62.942	0	86.225	125180000	135	0.187484	0.787118	-1.08591	-1.59574
22.473	22.1619	21.9321	22.2917	22.7376	20.2322	21.4704	22.0324						4	4	4	23.8	23.8	23.8	26.227	0	16.978	39442000	34	0.334461	0.835723	-0.599203	-1.10693
21.742	23.6392	23.1087	21.7832	22.8685	23.0299	23.1952	23.2114						12	12	12	48.9	48.9	48.9	37.106	0	39.304	67371000	88	0.143355	0.747343	-0.769352	-1.81845
20.8067	21.1538	20.1431	20.5125	21.2198	18.5881	19.3442	20.8253						10	10	10	11.9	11.9	11.9	111.63	0	18.386	15971000	13	0.143283	0.750971	-1.02261	-1.78797
21.9741	20.7243	21.9117	20.1989	25.1379	23.2823	23.3494	21.254						31	31	31	21	21	21	204.74	0	166.82	78080000	70	0.965558	0.994711	-0.0558047	-0.0451629
21.2419	21.5486	22.8561	21.454	20.2548	19.251	22.0073	21.5332						6	6	5	34	34	29.6	18.762	0	14.363	25799000	33	0.511907	0.884515	-0.559606	-0.69763
25.12	25.4558	25.522	25.3388	25.3561	24.3625	24.3113	24.8975						21	21	16	39.5	39.5	31.8	69.602	0	164.6	311130000	275	0.142816	0.755882	-0.524687	-1.76509
22.4293	22.9858	23.4109	23.3724	22.5086	23.2405	24.8211	23.4077						11	11	11	41	41	41	47.074	0	107.07	91590000	86	0.513213	0.879729	0.387604	0.715353
22.4581	21.023	21.8524	23.1464	20.4368	20.6191	23.0419	22.0414						13	13	13	34.4	34.4	34.4	55.023	0	44.355	39152000	37	0.21708	0.806248	0.977976	1.40831
25.2673	24.5231	23.9986	24.8365	25.5277	25.0864	24.2751	25.2664						26	26	26	34.5	34.5	34.5	108.17	0	192.61	280330000	297	0.931005	0.987338	0.0373673	0.0910247
21.2288	22.0153	21.0493	20.6517	21.3926	20.4982	19.3123	19.3735						3	3	3	47.8	47.8	47.8	12.732	0	9.9505	18132000	18	0.472608	0.890431	-0.534926	-0.771644
18.7751	20.8147	20.9222	20.8898	18.9976	19.9923	21.1094	20.9879						6	4	4	11.4	7.3	7.3	58.47	0	7.1627	11683000	7	0.749604	0.945663	-0.238964	-0.334355
23.3396	23.3445	22.6668	23.1316	22.6914	22.9717	23.2999	22.9948						15	15	15	20.1	20.1	20.1	107.89	0	72.025	75377000	58	0.210892	0.805848	0.261339	1.45427
28.993	28.823	28.5212	28.8792	29.0787	28.4047	27.6829	29.6848						10	10	2	60.3	60.3	7.9	13.952	0	114.81	4379100000	721	0.216088	0.811498	-0.536952	-1.38795
19.6553	19.0428	20.3728	20.3541	21.4791	20.7206	20.0155	19.8512						5	5	5	6.2	6.2	6.2	138.83	0	12.668	9885200	8	0.999851	1	-0.000110626	-0.000197881
25.894	24.6788	25.1338	25.4034	24.2343	24.9889	25.1151	24.1984						26	26	26	59.4	59.4	59.4	66.193	0	130.71	288450000	290	0.0383667	0.702933	0.789021	2.64912
22.2807	23.2862	22.7038	22.0728	22.9811	22.5771	22.3766	22.7238						11	11	11	23.1	23.1	23.1	60.13	0	34.738	57433000	82	0.0147187	0.576421	-0.596929	-3.47167
22.8741	23.1057	23.4615	22.3939	24.9866	21.8211	22.4397	24.1579						9	9	9	69.1	69.1	69.1	21.007	0	92.881	112460000	78	0.0249139	0.679733	-1.5457	-3.30324
22.787	23.0743	22.6985	22.8389	22.5703	22.8693	23.7975	22.6453						7	7	7	36.1	36.1	36.1	21.868	0	52.009	69743000	95	0.285232	0.808157	0.326098	1.22239
22.5354	22.458	22.7082	22.8301	22.6025	21.2063	22.7727	22.4112						7	7	7	61.1	61.1	61.1	12.855	0	20.936	50441000	37	0.625686	0.907116	-0.208849	-0.538292
21.9858	22.4679	21.4811	22.3147	21.9506	21.1536	22.4248	21.6748						10	10	9	32.7	32.7	30	49.301	0	19.25	37326000	46	0.839568	0.98176	0.0760856	0.212152
19.7778	19.4786	19.6903	19.7078	20.7586	22.7815	24.3975	20.186						8	8	8	20.2	20.2	20.2	61.708	0	61.629	26336000	37	0.25424	0.79811	1.63778	1.3728
25.513	25.2996	24.7271	25.2261	25.3681	24.0389	24.7306	25.2866						15	15	13	49.5	49.5	42.5	39.617	0	122.98	310390000	299	0.453474	0.882297	-0.293211	-0.824964
20.5384	19.6249	21.3023	20.5831	19.7176	19.2572	21.5247	20.4309						3	3	3	30.7	30.7	30.7	12.774	0	10.843	14396000	14	0.744937	0.947125	0.206928	0.341209
26.8779	22.0151	25.7205	26.1967	25.658	27.4309	27.2851	25.3735						99	92	90	52.2	49.8	48.5	278.16	0	323.31	631370000	659	0.0815755	0.760538	2.25593	2.40742
24.2951	24.0723	24.0268	24.7337	24.6944	23.9002	24.0973	23.7021						11	11	11	28.3	28.3	28.3	51.712	0	59.365	166060000	149	0.645132	0.914665	0.132647	0.485171
22.2608	23.1914	23.0996	23.2147	23.712	22.5175	22.3444	22.8445						5	5	5	30.2	30.2	30.2	24.593	0	118.31	74003000	75	0.0698728	0.759435	-0.627559	-2.21629
21.7901	22.7283	21.5608	22.524	21.671	21.3438	22.1265	20.1522						8	8	8	32.4	32.4	32.4	38.169	0	22.67	30749000	22	0.511984	0.883517	0.418036	0.714418
21.5831	20.9141	21.9175	21.7505	21.1066	21.1061	21.672	20.8832						7	7	7	36.4	36.4	36.4	30.241	0	21.165	21252000	38	0.306091	0.816274	0.322555	1.1423
20.8967	20.0654	20.9909	21.0397	21.2871	19.5536	20.1948	19.1326						3	3	1	14.5	14.5	6.1	31.3	0	13.104	12296000	6	0.933371	0.986754	0.0522041	0.0875838
22.446	20.0317	22.602	22.0773	23.1808	20.3244	23.3742	19.1147						2	2	2	34.8	34.8	34.8	10.058	0	13.6	52293000	24	0.512965	0.881522	0.823211	0.702314
